54,1,2,5.58
54,1,2,5.6
53,2,2,5.62
53,1,1,5.64
53,2,2,5.66
52,3,2,5.68
51,3,1,5.7
50,3,1,5.72
49,4,0,5.74
48,4,0,5.76
48,5,0,5.78
47,5,1,5.8
47,5,0,5.82
46,4,0,5.84
46,4,0,5.86
45,4,0,5.88
44,4,0,5.9
43,5,0,5.92
42,5,0,5.94
41,5,-1,5.96
40,5,0,5.98
39,6,0,6
38,7,-1,6.02
37,7,-1,6.04
36,11,-1,6.06
35,13,-1,6.08
35,6,-1,6.1
34,6,-1,6.12
32,6,-1,6.14
31,6,-1,6.16
30,7,-1,6.18
30,10,-5,6.2
30,8,-3,6.22
30,9,-2,6.24
29,10,-1,6.26
29,11,-1,6.28
29,11,0,6.3
28,11,0,6.32
28,11,0,6.34
28,12,0,6.36
27,12,0,6.38
27,12,0,6.4
26,13,0,6.42
26,13,0,6.44
26,13,0,6.46
25,14,0,6.48
24,14,0,6.5
24,15,0,6.52
23,15,0,6.54
23,15,0,6.56
22,15,-1,6.58
21,16,0,6.6
21,17,0,6.62
20,17,0,6.64
20,17,0,6.66
20,17,0,6.68
19,16,0,6.7
19,15,0,6.72
19,14,0,6.74
19,13,0,6.76
18,12,1,6.78
18,12,1,6.8
18,12,1,6.82
18,11,1,6.84
18,11,1,6.86
18,11,2,6.88
18,10,2,6.9
17,9,1,6.92
17,9,1,6.94
16,10,1,6.96
15,10,1,6.98
15,10,1,7
14,10,1,7.02
13,10,0,7.04
13,11,0,7.06
13,10,0,7.08
12,10,0,7.1
12,9,0,7.12
11,9,1,7.14
10,8,0,7.16
10,7,0,7.18
9,8,1,7.2
9,8,1,7.22
9,7,0,7.24
8,8,0,7.26
8,7,0,7.28
8,7,0,7.3
8,7,0,7.32
7,7,0,7.34
7,7,1,7.36
7,7,1,7.38
7,7,1,7.4
7,8,1,7.42
6,8,1,7.44
6,8,1,7.46
5,7,1,7.48
5,7,0,7.5
5,6,0,7.52
4,6,0,7.54
4,6,0,7.56
3,6,0,7.58
2,8,-1,7.6
1,8,0,7.62
0,7,0,7.64
0,7,0,7.66
-1,7,1,7.68
-1,7,1,7.7
-1,7,1,7.72
-2,7,1,7.74
-2,7,1,7.76
-2,7,1,7.78
-3,7,1,7.8
-3,7,1,7.82
-4,8,1,7.84
-5,7,1,7.86
-6,7,1,7.88
-7,7,1,7.9
-7,8,1,7.92
-8,8,1,7.94
-8,8,1,7.96
-8,9,1,7.98
-8,8,1,8
-8,8,1,8.02
-8,7,2,8.04
-8,7,2,8.06
-8,7,2,8.08
-9,7,2,8.1
-10,7,2,8.12
-11,7,2,8.14
-11,8,2,8.16
-12,8,1,8.18
-13,9,2,8.2
-13,9,2,8.22
-13,9,1,8.24
-14,9,1,8.26
-15,9,1,8.28
-16,9,1,8.3
-17,8,1,8.32
-19,9,1,8.34
-21,10,0,8.36
-23,12,-1,8.38
-24,12,0,8.4
-25,12,0,8.42
-27,12,-1,8.44
-28,11,0,8.46
-29,12,-1,8.48
-30,11,0,8.5
-31,12,0,8.52
-32,12,0,8.54
-33,12,0,8.56
-33,12,0,8.58
-34,12,0,8.6
-35,13,-1,8.62
-35,12,0,8.64
-35,12,0,8.66
-35,12,0,8.68
-36,11,0,8.7
-36,11,0,8.72
-37,11,0,8.74
-37,11,0,8.76
-38,11,0,8.78
-38,11,-1,8.8
-38,10,-1,8.82
-38,10,-1,8.84
-38,10,-1,8.86
-39,10,-1,8.88
-40,10,-2,8.9
-40,10,-2,8.92
-41,10,-3,8.94
-41,10,-3,8.96
-42,10,-2,8.98
-42,10,-3,9
-43,10,-4,9.02
-43,10,-4,9.04
-44,10,-4,9.06
-44,10,-3,9.08
-45,11,-3,9.1
-45,10,-3,9.12
-45,10,-2,9.14
-45,11,-2,9.16
-45,10,-2,9.18
-46,10,-2,9.2
-46,11,-2,9.22
-46,12,-2,9.24
-47,12,-3,9.26
-48,12,-3,9.28
-49,12,-3,9.3
-50,11,-3,9.32
-52,11,-3,9.34
-53,11,-3,9.36
-54,10,-3,9.38
-54,11,-3,9.4
-55,10,-2,9.42
-55,10,-2,9.44
-56,10,-2,9.46
-56,10,-3,9.48
-57,10,-3,9.5
-58,10,-3,9.52
-59,10,-3,9.54
-60,10,-3,9.56
-62,10,-4,9.58
-63,9,-4,9.6
-65,9,-4,9.62
-66,9,-4,9.64
-67,9,-4,9.66
-69,9,-4,9.68
-70,9,-4,9.7
-71,9,-4,9.72
-71,9,-4,9.74
-72,9,-4,9.76
-73,8,-4,9.78
-74,8,-4,9.8
-74,8,-4,9.82
-75,8,-4,9.84
-76,8,-4,9.86
-77,7,-3,9.88
-77,7,-3,9.9
-78,7,-3,9.92
-79,7,-3,9.94
-79,7,-3,9.96
-80,7,-3,9.98
-81,7,-3,10
-81,7,-3,10.02
-82,6,-3,10.04
-83,6,-3,10.06
-84,6,-3,10.08
-84,6,-3,10.1
-85,6,-4,10.12
-86,6,-4,10.14
-87,6,-4,10.16
-87,6,-4,10.18
-88,6,-4,10.2
-89,6,-4,10.22
-89,5,-4,10.24
-90,5,-5,10.26
-90,5,-5,10.28
-91,5,-4,10.3
-92,5,-4,10.32
-92,5,-5,10.34
-93,5,-5,10.36
-93,5,-5,10.38
-93,5,-5,10.4
-93,5,-5,10.42
-94,5,-5,10.44
-94,5,-5,10.46
-94,5,-5,10.48
-95,5,-5,10.5
-95,5,-5,10.52
-95,5,-5,10.54
-95,5,-5,10.56
-96,5,-5,10.58
-96,5,-5,10.6
-96,5,-5,10.62
-96,5,-5,10.64
-96,5,-5,10.66
-97,4,-5,10.68
-97,4,-5,10.7
-97,4,-5,10.72
-97,4,-5,10.74
-97,4,-5,10.76
-97,4,-5,10.78
-97,4,-5,10.8
-97,4,-5,10.82
-97,4,-5,10.84
-97,4,-5,10.86
-98,4,-5,10.88
-98,4,-5,10.9
-98,5,-5,10.92
-98,4,-5,10.94
-98,4,-5,10.96
-98,4,-5,10.98
-98,4,-5,11
-98,4,-6,11.02
-98,4,-5,11.04
-98,4,-5,11.06
-98,4,-5,11.08
-98,4,-5,11.1
-98,4,-5,11.12
-98,4,-5,11.14
-98,4,-6,11.16
-98,4,-6,11.18
-98,4,-6,11.2
-98,4,-6,11.22
-98,4,-5,11.24
-97,4,-6,11.26
-97,4,-6,11.28
-97,4,-6,11.3
-96,4,-6,11.32
-95,3,-5,11.34
-94,3,-2,11.36
-94,3,-2,11.38
-93,2,-3,11.4
-92,2,-3,11.42
-91,2,-4,11.44
-90,2,-4,11.46
-89,1,-5,11.48
-88,1,-5,11.5
-86,1,-6,11.52
-86,1,-6,11.54
-85,2,-7,11.56
-85,2,-7,11.58
-84,3,-7,11.6
-83,4,-7,11.62
-82,4,-6,11.64
-82,4,-6,11.66
-81,4,-6,11.68
-80,4,-6,11.7
-79,4,-6,11.72
-78,4,-6,11.74
-77,4,-6,11.76
-77,4,-6,11.78
-76,4,-6,11.8
-75,4,-6,11.82
-74,4,-7,11.84
-73,4,-6,11.86
-72,4,-6,11.88
-71,4,-5,11.9
-70,4,-5,11.92
-69,4,-5,11.94
-68,4,-5,11.96
-67,4,-5,11.98
-66,4,-5,12
-64,4,-5,12.02
-63,4,-5,12.04
-62,4,-5,12.06
-61,4,-5,12.08
-60,4,-5,12.1
-58,4,-5,12.12
-56,3,-5,12.14
-55,3,-5,12.16
-52,2,-6,12.18
-51,2,-5,12.2
-49,2,-6,12.22
-48,2,-6,12.24
-46,2,-6,12.26
-44,2,-6,12.28
-42,3,-6,12.3
-41,2,-5,12.32
-40,2,-5,12.34
-40,2,-5,12.36
-39,3,-6,12.38
-38,3,-6,12.4
-37,3,-6,12.42
-35,3,-6,12.44
-34,3,-6,12.46
-33,2,-6,12.48
-32,2,-5,12.5
-31,2,-5,12.52
-30,3,-6,12.54
-29,3,-6,12.56
-28,2,-5,12.58
-27,2,-5,12.6
-27,2,-5,12.62
-26,3,-5,12.64
-26,3,-5,12.66
-25,3,-5,12.68
-25,3,-5,12.7
-24,3,-6,12.72
-24,2,-5,12.74
-23,2,-6,12.76
-22,3,-5,12.78
-22,3,-6,12.8
-21,2,-5,12.82
-21,2,-5,12.84
-20,2,-5,12.86
-19,2,-5,12.88
-18,2,-5,12.9
-17,1,-4,12.92
-17,1,-4,12.94
-16,1,-4,12.96
-16,1,-4,12.98
-15,1,-4,13
-14,1,-3,13.02
-14,1,-3,13.04
-13,1,-3,13.06
-12,0,-3,13.08
-12,0,-3,13.1
-11,0,-2,13.12
-11,0,-2,13.14
-11,0,-2,13.16
-10,0,-2,13.18
-10,0,-2,13.2
-9,0,-1,13.22
-8,0,-1,13.24
-8,0,-1,13.26
-7,0,0,13.28
-7,0,0,13.3
-6,0,0,13.32
-6,0,0,13.34
-5,0,0,13.36
-5,0,0,13.38
-4,0,0,13.4
-4,0,0,13.42
-4,0,0,13.44
-4,0,0,13.46
-4,0,0,13.48
-4,1,0,13.5
-3,1,0,13.52
-3,1,0,13.54
-2,1,0,13.56
-2,0,0,13.58
-1,0,0,13.6
0,0,0,13.62
0,0,0,13.64
0,0,0,13.66
0,0,0,13.68
0,0,0,13.7
0,0,0,13.72
1,0,0,13.74
1,0,1,13.76
1,0,1,13.78
1,0,1,13.8
1,0,1,13.82
1,0,1,13.84
1,0,1,13.86
1,0,1,13.88
1,0,1,13.9
1,0,1,13.92
0,0,1,13.94
0,0,1,13.96
0,0,1,13.98
1,0,1,14
1,0,1,14.02
1,0,1,14.04
1,0,1,14.06
1,0,1,14.08
1,0,1,14.1
1,0,1,14.12
1,0,1,14.14
1,0,1,14.16
1,0,1,14.18
1,0,1,14.2
1,0,1,14.22
1,0,1,14.24
1,0,1,14.26
1,0,1,14.28
1,0,1,14.3
1,0,1,14.32
1,0,1,14.34
1,0,1,14.36
1,0,1,14.38
1,0,1,14.4
1,0,1,14.42
1,0,1,14.44
1,0,1,14.46
1,0,1,14.48
1,0,1,14.5
1,0,1,14.52
1,0,1,14.54
1,0,1,14.56
1,0,1,14.58
1,0,1,14.6
1,0,1,14.62
1,0,1,14.64
1,0,1,14.66
1,0,1,14.68
1,0,1,14.7
1,0,1,14.72
1,0,1,14.74
1,0,1,14.76
1,0,1,14.78
1,0,1,14.8
1,0,1,14.82
1,0,1,14.84
1,0,1,14.86
1,0,1,14.88
1,0,1,14.9
1,0,1,14.92
1,0,2,14.94
1,1,2,14.96
1,0,2,14.98
1,0,2,15
1,0,2,15.02
1,0,2,15.04
1,1,2,15.06
1,1,2,15.08
1,1,2,15.1
1,1,2,15.12
1,1,2,15.14
1,1,2,15.16
1,1,2,15.18
1,1,2,15.2
1,1,2,15.22
1,1,1,15.24
1,1,1,15.26
1,1,1,15.28
1,0,1,15.3
1,1,1,15.32
1,0,1,15.34
1,0,1,15.36
1,1,1,15.38
1,1,1,15.4
1,1,1,15.42
1,1,1,15.44
1,0,1,15.46
1,0,1,15.48
1,0,1,15.5
1,0,1,15.52
1,0,1,15.54
1,0,1,15.56
1,0,1,15.58
1,0,1,15.6
1,0,1,15.62
1,0,1,15.64
1,0,1,15.66
1,0,1,15.68
1,0,1,15.7
1,0,1,15.72
1,0,1,15.74
0,0,1,15.76
0,0,2,15.78
0,0,2,15.8
0,0,2,15.82
0,0,2,15.84
0,0,2,15.86
0,0,2,15.88
0,0,3,15.9
0,0,2,15.92
0,0,3,15.94
0,0,2,15.96
0,0,2,15.98
0,0,2,16
0,0,1,16.02
0,0,1,16.04
0,0,1,16.06
0,0,1,16.08
0,0,1,16.1
1,0,2,16.12
1,0,2,16.14
1,0,2,16.16
1,0,2,16.18
1,0,2,16.2
1,1,3,16.22
1,1,2,16.24
1,1,2,16.26
1,0,2,16.28
1,0,2,16.3
1,0,2,16.32
1,0,2,16.34
1,0,2,16.36
1,0,2,16.38
1,0,2,16.4
0,0,2,16.42
0,-1,1,16.44
0,-1,2,16.46
0,-1,2,16.48
0,0,2,16.5
0,0,2,16.52
0,0,2,16.54
0,-1,2,16.56
0,0,1,16.58
0,0,1,16.6
0,0,1,16.62
0,1,1,16.64
0,2,1,16.66
0,2,1,16.68
0,1,1,16.7
0,1,0,16.72
0,0,0,16.74
0,0,1,16.76
0,0,1,16.78
0,0,1,16.8
0,0,1,16.82
0,0,1,16.84
0,0,1,16.86
0,0,0,16.88
0,0,0,16.9
0,0,0,16.92
0,0,0,16.94
0,0,0,16.96
0,0,1,16.98
0,0,1,17
0,0,1,17.02
0,0,1,17.04
0,0,1,17.06
0,0,0,17.08
0,0,0,17.1
